product_id,name,description,category,price,currency,availability,features,url
prod_011,FocusDisplay 27 QHD,"27-Zoll-Monitor fuer produktives Multitasking mit klarer Darstellung.",computing,299.00,EUR,available,"QHD|IPS|USB-C|Ergonomischer Standfuss","https://nexamarket.example/products/focusdisplay-27-qhd"
prod_012,FocusDisplay 34 UltraWide,"Ultrawide-Monitor fuer Tabellen, Kreativarbeit und gleichzeitige Anwendungen.",computing,499.00,EUR,backorder,"34 Zoll|UWQHD|USB-C KVM|HDR400","https://nexamarket.example/products/focusdisplay-34-ultrawide"
prod_013,NotePro 14 Air,"Leichtes 14-Zoll-Notebook fuer Arbeit, Studium und unterwegs.",computing,999.00,EUR,available,"Ryzen 7|16 GB RAM|512 GB SSD|Wi-Fi 6E","https://nexamarket.example/products/notepro-14-air"
prod_014,NotePro 16 Studio,"Leistungsstarkes Notebook fuer kreative Aufgaben und anspruchsvolle Projekte.",computing,1499.00,EUR,limited,"16 Zoll|32 GB RAM|1 TB SSD|RTX 4060","https://nexamarket.example/products/notepro-16-studio"
prod_015,MiniCore Workstation M2,"Kompakter Desktop fuer Buero, Entwicklung und Medienproduktion.",computing,1199.00,EUR,available,"Intel Core Ultra 7|32 GB RAM|1 TB SSD|Thunderbolt 4","https://nexamarket.example/products/minicore-workstation-m2"
prod_016,StoreVault 2TB SSD,"Externe SSD fuer schnelle Backups und mobile Projekte.",storage,179.00,EUR,available,"USB 3.2 Gen 2|2 TB|Metallgehaeuse|256-Bit-Verschluesselung","https://nexamarket.example/products/storevault-2tb-ssd"
prod_017,StoreVault 4TB SSD,"Externe Hochleistungs-SSD fuer grosse Mediendateien und Projektarchive.",storage,299.00,EUR,available,"4 TB|Bis 1050 MB/s|Stossfest|USB-C","https://nexamarket.example/products/storevault-4tb-ssd"
prod_018,MeshRouter AX6000,"WLAN-6E-Router fuer stabile Verbindungen in grossen Wohnungen und Bueros.",networking,249.00,EUR,available,"Wi-Fi 6E|2.5G WAN|Elternkontrolle|Gastnetz","https://nexamarket.example/products/meshrouter-ax6000"
prod_019,MeshNode Add-on,"Erweiterungsmodul fuer groessere WLAN-Abdeckung im Mesh-Verbund.",networking,99.90,EUR,available,"Nahtloses Roaming|WPA3|App-Setup","https://nexamarket.example/products/meshnode-add-on"
prod_020,KeyFlow Mechanical TKL,"Kompakte mechanische Tastatur fuer Office und schnelles Schreiben.",peripherals,109.00,EUR,available,"Hot-Swap|TKL-Layout|PBT-Keycaps|USB-C","https://nexamarket.example/products/keyflow-mechanical-tkl"
prod_021,KeyFlow Silent Fullsize,"Leise Fullsize-Tastatur fuer konzentriertes Arbeiten im Buero.",peripherals,119.00,EUR,available,"Silent Switches|Nummernblock|Abnehmbares Kabel|Makros","https://nexamarket.example/products/keyflow-silent-fullsize"
prod_022,Pointer Pro Ergo,"Ergonomische Maus fuer lange Arbeitstage und praezises Navigieren.",peripherals,59.90,EUR,available,"Ergo-Form|Mehrgeraete-Modus|USB-C|Programmierbare Tasten","https://nexamarket.example/products/pointer-pro-ergo"
prod_023,Pointer Air Travel,"Leichte Funkmaus fuer mobiles Arbeiten und Reisen.",peripherals,34.90,EUR,available,"Bluetooth|Leiser Klick|18 Monate Batterie|Kompakt","https://nexamarket.example/products/pointer-air-travel"
prod_024,WavePad XL Deskmat,"Grosszuegige Deskmat fuer Tastatur, Maus und sauberes Kabelrouting.",peripherals,29.90,EUR,available,"Wasserabweisend|Rutschfest|XL-Format|Nahtkante","https://nexamarket.example/products/wavepad-xl-deskmat"
prod_025,ViewCam Pro 4K,"Webcam fuer Videocalls, Streaming und hochwertige Remote-Meetings.",office_tech,129.00,EUR,available,"4K|Autofokus|Dual-Mikrofon|Privacy-Shutter","https://nexamarket.example/products/viewcam-pro-4k"
prod_026,ViewCam Meet 1080,"Zuverlaessige Full-HD-Webcam fuer Alltag und Homeoffice.",office_tech,59.90,EUR,available,"1080p|Automatische Belichtung|Clip-Halterung|USB-A","https://nexamarket.example/products/viewcam-meet-1080"
prod_027,VoiceHub Conference Mic,"Desktop-Mikrofon fuer Meetings, Podcasts und Sprachaufnahmen.",audio,89.90,EUR,available,"USB-C|Noise Reduction|Mute-Taste|Stativgewinde","https://nexamarket.example/products/voicehub-conference-mic"
prod_028,SoundLine ANC Headphones,"Kabelloser Over-Ear-Kopfhoerer fuer konzentriertes Arbeiten und Reisen.",audio,179.00,EUR,available,"ANC|38 Stunden Akku|Multipoint|USB-C Fast Charge","https://nexamarket.example/products/soundline-anc-headphones"
prod_029,SoundLine Office Buds,"True-Wireless-In-Ears fuer Calls und unterwegs.",audio,99.90,EUR,available,"ENC-Mikrofone|Multipoint|Qi-Ladecase|IPX4","https://nexamarket.example/products/soundline-office-buds"
prod_030,StudioBar USB Speaker,"Kompakte Soundbar fuer Schreibtisch, Calls und Musik.",audio,79.90,EUR,available,"USB-Audio|Bluetooth|Dual-Treiber|Touch-Bedienung","https://nexamarket.example/products/studiobar-usb-speaker"
prod_031,PowerGo 65 GaN Charger,"Kompaktes Schnellladegeraet fuer Notebook, Tablet und Smartphone.",mobile_accessories,49.90,EUR,available,"65W GaN|2x USB-C|1x USB-A|Reiseformat","https://nexamarket.example/products/powergo-65-gan-charger"
prod_032,PowerGo 100 GaN Hub,"Mehrport-Ladegeraet fuer mehrere Endgeraete am Arbeitsplatz.",mobile_accessories,79.90,EUR,available,"100W|3x USB-C|1x USB-A|Ueberhitzungsschutz","https://nexamarket.example/products/powergo-100-gan-hub"
prod_033,CableFlex USB-C 2m,"Robustes Ladekabel fuer Smartphones, Tablets und Zubehoer.",mobile_accessories,14.90,EUR,available,"2 Meter|Nylongeflecht|60W PD|Knickschutz","https://nexamarket.example/products/cableflex-usb-c-2m"
prod_034,CableFlex 240W Pro,"Leistungskabel fuer Notebooks und leistungsstarke USB-C-Geraete.",mobile_accessories,24.90,EUR,available,"240W PD 3.1|Geflochten|E-Marker|2 Meter","https://nexamarket.example/products/cableflex-240w-pro"
prod_035,ChargeStand Duo,"2-in-1-Ladestation fuer Smartphone und Ohrhoerer.",mobile_accessories,59.90,EUR,available,"Qi2|Magnetisch|Kompaktes Dock|Nachtmodus","https://nexamarket.example/products/chargestand-duo"
prod_036,TravelHub Power Bank 20000,"Leistungsstarke Powerbank fuer Reisen und lange Arbeitstage.",mobile_accessories,69.90,EUR,available,"20000 mAh|65W USB-C|Display|Pass-Through","https://nexamarket.example/products/travelhub-power-bank-20000"
prod_037,TravelHub Slim 10000,"Flache Powerbank fuer Alltag, Pendeln und Kurztrips.",mobile_accessories,39.90,EUR,available,"10000 mAh|20W USB-C|Kompakt|LED-Anzeige","https://nexamarket.example/products/travelhub-slim-10000"
prod_038,StandFold Tablet Arm,"Verstellbare Halterung fuer Tablets im Homeoffice oder an der Kasse.",office_tech,44.90,EUR,available,"Metallarm|360 Grad|Kabelmanagement|Rutschfeste Basis","https://nexamarket.example/products/standfold-tablet-arm"
prod_039,LiteBoard 13 Writing Pad,"Digitales Schreibtablet fuer schnelle Notizen und Skizzen.",office_tech,29.90,EUR,available,"13 Zoll|Druckempfindlich|Loeschtaste|Leicht","https://nexamarket.example/products/liteboard-13-writing-pad"
prod_040,ScanMate Mobile 600,"Kompakter Dokumentenscanner fuer Belege, Vertrage und Unterlagen.",office_tech,139.00,EUR,limited,"Duplex|USB-C|A4|OCR-Software","https://nexamarket.example/products/scanmate-mobile-600"
prod_041,PrivacyShield 14,"Magnetischer Blickschutzfilter fuer 14-Zoll-Laptops.",office_tech,39.90,EUR,available,"Magnetisch|Blendfrei|Blue-Light-Filter|Abnehmbar","https://nexamarket.example/products/privacyshield-14"
prod_042,PrivacyShield 16,"Blickschutzfilter fuer grosse Notebooks im mobilen Einsatz.",office_tech,44.90,EUR,available,"16 Zoll|Entspiegelt|Magnetisch|Doppelseitig","https://nexamarket.example/products/privacyshield-16"
prod_043,ChairLight Monitor Bar,"Monitorleuchte fuer blendfreies Licht am Arbeitsplatz.",office_tech,69.90,EUR,available,"Asymmetrisches Licht|Touch-Steuerung|USB-C|Dimmbar","https://nexamarket.example/products/chairlight-monitor-bar"
prod_044,ErgoLift Laptop Stand,"Hoehenverstellbarer Laptop-Staender aus Aluminium.",office_tech,54.90,EUR,available,"Faltbar|Belueftung|6 Stufen|Bis 17 Zoll","https://nexamarket.example/products/ergolift-laptop-stand"
prod_045,ErgoLift Pro Stand,"Staender mit freier Hoehen- und Neigungsverstellung fuer ergonomische Setups.",office_tech,89.90,EUR,backorder,"Aluminium|Hoehenverstellbar|Kabeldurchlass|Rutschfest","https://nexamarket.example/products/ergolift-pro-stand"
prod_046,FocusLight Desk Pro,"Arbeitsleuchte mit automatischer Helligkeitsanpassung.",office_tech,99.90,EUR,available,"Lichtsensor|USB-C|Timer|Blendarm","https://nexamarket.example/products/focuslight-desk-pro"
prod_047,MeetingHub USB-C Hub,"Kompakter Hub fuer Besprechungsraeume und Hot-Desk-Arbeitsplaetze.",office_tech,89.90,EUR,available,"HDMI|Ethernet|USB-C PD|Kabel 25 cm","https://nexamarket.example/products/meetinghub-usb-c-hub"
prod_048,SmartTag Finder 4-Pack,"Bluetooth-Tracker fuer Tasche, Schluessel und Reisegepaeck.",smart_home,49.90,EUR,available,"UWB-kompatibel|Austauschbare Batterie|App-Alarm|4er-Set","https://nexamarket.example/products/smarttag-finder-4-pack"
prod_049,NexaHome Speaker Mini,"Kompakter Smart Speaker fuer Timer, Routinen und Musiksteuerung.",smart_home,69.90,EUR,available,"WLAN|Bluetooth|Multiroom|Sprachsteuerung","https://nexamarket.example/products/nexahome-speaker-mini"
prod_050,NexaCare Device Plan,"Digitales Servicepaket mit Prioritaetssupport und Geraetechecklisten.",digital_services,7.90,EUR,available,"Monatlich kuendbar|Prioritaetssupport|Wartungstipps|Digitaler Zugang","https://nexamarket.example/products/nexacare-device-plan"
